Average reception service time (min),Average nurse service time(min),Average cubicle service time(hours),Average bed service time(hours),Average reception queue time(min),Average nurse queue time(min),Average cubicle queue time(min),Average bed queue time(min),Total time operating(days),Total patients,Total deceased,Total recovered,Ration deceased,Ratio recovered,Total ratio,Receptionist bill ($),Nurse bill ($),Cubicle bill ($),Bed bill ($),Total expenditure ($),Total revenue ($),Total profit ($)
7.43,25.09,1.04,2.71,1.75,4.79,2.96,4.73,7.0,269,65.0,204.0,0.241635687732342,0.758364312267658,1.0,22669.19,70526.38,161203.15,483609.44,738008.15,2017500,1279491.85
6.64,23.8,1.17,2.89,1.57,3.45,7.73,10.54,6.93,306,78.0,228.0,0.2549019607843137,0.7450980392156863,1.0,22438.48,69808.6,159562.52,478687.57,730497.17,2295000,1564502.83
6.93,23.9,1.03,3.09,2.07,4.02,5.13,48.79,6.99,307,81.0,226.0,0.26384364820846906,0.7361563517915309,1.0,22654.61,70481.01,161099.44,483298.32,737533.37,2302500,1564966.63
6.8,25.12,1.06,2.91,1.93,4.44,8.22,2.54,6.99,304,75.0,229.0,0.24671052631578946,0.7532894736842105,1.0,22659.26,70495.48,161132.53,483397.59,737684.86,2280000,1542315.14
7.17,25.5,1.08,3.05,2.23,4.3,4.29,2.28,6.94,279,80.0,199.0,0.2867383512544803,0.7132616487455197,1.0,22492.89,69977.88,159949.45,479848.34,732268.56,2092500,1360231.44
6.83,23.83,1.0,2.91,2.39,3.51,3.23,36.64,6.99,293,70.0,223.0,0.23890784982935154,0.7610921501706485,1.0,22634.79,70419.36,160958.53,482875.6,736888.28,2197500,1460611.72
7.65,26.27,1.04,2.99,2.48,3.97,2.57,4.47,6.95,294,79.0,215.0,0.2687074829931973,0.7312925170068028,1.0,22510.4,70032.35,160073.94,480221.81,732838.49,2205000,1472161.51
6.85,25.34,0.93,2.64,2.28,4.69,1.63,0.82,6.99,298,73.0,225.0,0.24496644295302014,0.7550335570469798,1.0,22650.2,70467.3,161068.12,483204.37,737390.01,2235000,1497609.99
7.46,26.48,1.11,2.72,2.16,8.35,2.28,4.4,6.98,280,68.0,212.0,0.24285714285714285,0.7571428571428571,1.0,22630.92,70407.32,160931.01,482793.04,736762.3,2100000,1363237.7
6.5,26.1,1.02,3.15,2.51,4.16,1.14,16.82,6.98,307,83.0,224.0,0.2703583061889251,0.7296416938110749,1.0,22606.38,70330.96,160756.47,482269.41,735963.21,2302500,1566536.79
